close,date,high,low,open,quoteVolume,volume,weightedAverage
1.85,2015-08-08 00:00:00,1.85,0.50000021,1.65,84.01638508,144.42819254,1.71904792
1.40000001,2015-08-08 04:00:00,1.7,1.40000001,1.7,92.52305316,129.57577588,1.40047016
1.40000001,2015-08-08 08:00:00,1.40000001,1.40000001,1.40000001,0.0,0.0,1.40000001
1.40000001,2015-08-08 12:00:00,1.40000001,1.40000001,1.40000001,0.0,0.0,1.40000001
1.40000001,2015-08-08 16:00:00,1.40000001,1.40000001,1.40000001,0.0,0.0,1.40000001
1.40000001,2015-08-08 20:00:00,1.40000001,1.40000001,1.40000001,0.0,0.0,1.40000001
1.40000001,2015-08-09 00:00:00,1.40000001,1.40000001,1.40000001,0.0,0.0,1.40000001
1.40000001,2015-08-09 04:00:00,1.40000001,1.40000001,1.40000001,0.0,0.0,1.40000001
1.40000001,2015-08-09 08:00:00,1.40000001,1.40000001,1.40000001,0.0,0.0,1.40000001
1.40000001,2015-08-09 12:00:00,1.40000001,1.40000001,1.40000001,0.0,0.0,1.40000001
1.40000001,2015-08-09 16:00:00,1.40000001,1.40000001,1.40000001,0.0,0.0,1.40000001
1.40000001,2015-08-09 20:00:00,1.40000001,1.40000001,1.40000001,0.0,0.0,1.40000001
1.40000001,2015-08-10 00:00:00,1.40000001,1.40000001,1.40000001,0.0,0.0,1.40000001
1.40000001,2015-08-10 04:00:00,1.40000001,1.40000001,1.40000001,0.0,0.0,1.40000001
1.40000001,2015-08-10 08:00:00,1.40000001,1.40000001,1.40000001,0.0,0.0,1.40000001
1.40000001,2015-08-10 12:00:00,1.40000001,1.40000001,1.40000001,0.0,0.0,1.40000001
1.40000001,2015-08-10 16:00:00,1.40000001,1.40000001,1.40000001,0.0,0.0,1.40000001
0.66000001,2015-08-10 20:00:00,0.66000001,0.66000001,0.66000001,0.11181839,0.07380013,0.66000001
0.66000001,2015-08-11 00:00:00,0.66000001,0.66000001,0.66000001,0.0,0.0,0.66000001
0.55000001,2015-08-11 04:00:00,0.76999944,0.55000001,0.76999944,0.03984044,0.02629906,0.66010983
0.77000001,2015-08-11 08:00:00,0.77000001,0.76999922,0.76999922,61.69089653,47.50194788,0.76999931
1.0,2015-08-11 12:00:00,1.0,0.99999999,0.99999999,126.68052615,126.68052588,0.99999999
1.1,2015-08-11 16:00:00,1.14,1.05999999,1.05999999,62.994,68.6933997,1.09047527
0.90000146,2015-08-11 20:00:00,1.05000001,0.9000006,1.05000001,112.39234096,101.62486499,0.90419742
0.90000146,2015-08-12 00:00:00,0.90000146,0.90000146,0.90000146,0.0,0.0,0.90000146
1.18,2015-08-12 04:00:00,1.18,1.0,1.0,109.70495043,127.54115577,1.16258341
1.26,2015-08-12 08:00:00,1.26,1.22,1.22,15.22075571,18.57815219,1.22058014
1.39999999,2015-08-12 12:00:00,1.39999999,1.26,1.26,166.76205514,228.69778192,1.37140179
1.38,2015-08-12 16:00:00,1.38,1.38,1.38,0.26467853,0.36525637,1.38
1.38,2015-08-12 20:00:00,1.38,1.38,1.38,0.0,0.0,1.38
1.3,2015-08-13 00:00:00,1.3,1.3,1.3,4.04408874,5.25731536,1.3
1.3,2015-08-13 04:00:00,1.3,1.3,1.3,5.95591126,7.74268463,1.3
1.46,2015-08-13 08:00:00,1.46,1.38,1.38,35.68086244,50.49627581,1.41522015
2.05,2015-08-13 12:00:00,2.05,1.46,1.46,302.07602291,522.61729273,1.73008531
2.14,2015-08-13 16:00:00,2.15,2.14,2.15,0.08060516,0.17328582,2.14981056
2.14,2015-08-13 20:00:00,2.14,2.14,2.14,0.0,0.0,2.14
2.14,2015-08-14 00:00:00,2.14,2.14,2.14,0.0,0.0,2.14
2.15,2015-08-14 04:00:00,2.15,2.14,2.14,24.91939484,53.47671417,2.14598767
2.15,2015-08-14 08:00:00,2.15,2.15,2.15,0.0,0.0,2.15
2.15,2015-08-14 12:00:00,2.15,2.15,2.15,0.0,0.0,2.15
2.15,2015-08-14 16:00:00,2.15,2.15,2.15,0.0,0.0,2.15
1.625,2015-08-14 20:00:00,1.625,1.625,1.625,11.0,17.875,1.625
2.19999999,2015-08-15 00:00:00,2.19999999,1.7,1.7,6.0,10.99999995,1.83333332
2.19999999,2015-08-15 04:00:00,2.19999999,2.19999999,2.19999999,0.0,0.0,2.19999999
2.19999999,2015-08-15 08:00:00,2.19999999,2.19999999,2.19999999,0.0,0.0,2.19999999
1.5,2015-08-15 12:00:00,1.5,1.15000001,1.5,16.62755862,24.34824571,1.46433076
1.5,2015-08-15 16:00:00,1.5,1.5,1.5,0.0,0.0,1.5
1.769999,2015-08-15 20:00:00,1.769999,1.769999,1.769999,0.00038816,0.00068704,1.769999
1.77,2015-08-16 00:00:00,1.77,1.14,1.14000001,13.11196337,15.77934371,1.20343103
1.11,2015-08-16 04:00:00,1.14,1.11,1.14,186.19979694,210.03425217,1.12800473
1.12000001,2015-08-16 08:00:00,1.12000001,1.12000001,1.12000001,0.29987841,0.33586382,1.12000001
1.12000001,2015-08-16 12:00:00,1.12000001,1.12000001,1.12000001,0.0,0.0,1.12000001
1.12000001,2015-08-16 16:00:00,1.12000001,1.12000001,1.12000001,0.0,0.0,1.12000001
1.12000001,2015-08-16 20:00:00,1.12000001,1.12000001,1.12000001,0.0,0.0,1.12000001
1.12000001,2015-08-17 00:00:00,1.12000001,1.12000001,1.12000001,0.0,0.0,1.12000001
1.12000001,2015-08-17 04:00:00,1.12000001,1.12000001,1.12000001,0.0,0.0,1.12000001
