close,date,high,low,open,quoteVolume,volume,weightedAverage
0.004555,2015-08-08 00:00:00,50.0,0.0045001,50.0,54434.7809242,329.6493784,0.00605585
0.00535,2015-08-08 04:00:00,0.005488,0.004225,0.0052777,62325.4949191,304.9831979,0.00489339
0.00462143,2015-08-08 08:00:00,0.00583952,0.00432389,0.00510117,30462.6899074,145.25129723,0.00476817
0.00306999,2015-08-08 12:00:00,0.00477,0.00262,0.00462145,74319.5059742,272.40018875,0.00366525
0.00312499,2015-08-08 16:00:00,0.00387,0.0029,0.00306999,44663.6086722,153.51925855,0.00343723
0.00294,2015-08-08 20:00:00,0.00335,0.0024,0.00299999,47119.9049547,126.87069746,0.0026925
0.00314897,2015-08-09 00:00:00,0.0041,0.00261045,0.00288437,47505.0321295,152.3322681,0.00320665
0.00268,2015-08-09 04:00:00,0.00323,0.00268,0.00295344,46590.2400145,135.20354439,0.00290197
0.00291999,2015-08-09 08:00:00,0.002966,0.00262591,0.00270014,23742.411875,64.14394691,0.00270166
0.00281032,2015-08-09 12:00:00,0.0031644,0.00257997,0.00291999,79685.5695235,224.99840515,0.00282357
0.00258069,2015-08-09 16:00:00,0.00304998,0.0025,0.00286747,69344.7163637,194.57457198,0.0028059
0.00259,2015-08-09 20:00:00,0.00273,0.0022,0.00264996,54062.5244437,129.70668758,0.00239919
0.002351,2015-08-10 00:00:00,0.00265,0.00225987,0.00262893,54603.9195873,133.16940526,0.00243882
0.00253999,2015-08-10 04:00:00,0.00255,0.00231002,0.0023894,32330.8012711,79.74773662,0.00246661
0.00255,2015-08-10 08:00:00,0.002557,0.00244699,0.00253999,35884.3144443,90.52252089,0.00252262
0.00259999,2015-08-10 12:00:00,0.0029022,0.00250001,0.00254541,67731.6615035,180.19006214,0.00266035
0.00264498,2015-08-10 16:00:00,0.00275,0.0025044,0.0026,39962.1850589,105.02885318,0.0026282
0.00267997,2015-08-10 20:00:00,0.0027,0.00248901,0.00264959,89743.1894552,232.3428525,0.00258897
0.00255,2015-08-11 00:00:00,0.0027309,0.002414,0.00267992,92641.1803393,236.94051897,0.00255761
0.00258991,2015-08-11 04:00:00,0.00269,0.00251,0.00256,57797.8935814,149.15225065,0.00258058
0.00298998,2015-08-11 08:00:00,0.003,0.00258002,0.00262,98117.9109063,277.86794567,0.00283197
0.00385998,2015-08-11 12:00:00,0.00393499,0.00295501,0.00298,287062.983361,975.10083315,0.00339681
0.00395009,2015-08-11 16:00:00,0.0044,0.00344111,0.00376,289775.338266,1135.86970997,0.00391982
0.00329899,2015-08-11 20:00:00,0.0042,0.00290994,0.00395464,212004.652006,752.67694105,0.00355028
0.00362199,2015-08-12 00:00:00,0.00387099,0.00305005,0.00305006,75231.9334497,270.43654943,0.0035947
0.00450002,2015-08-12 04:00:00,0.00455,0.00352083,0.00356001,163699.159946,667.30870818,0.00407643
0.00447499,2015-08-12 08:00:00,0.004798,0.00399,0.00454996,314094.955689,1381.6417632,0.0043988
0.00465008,2015-08-12 12:00:00,0.0048,0.004311,0.00447499,176702.128748,805.87363497,0.00456063
0.0045,2015-08-12 16:00:00,0.0048822,0.00422387,0.00465008,176087.719377,812.13743552,0.00461211
0.00453022,2015-08-12 20:00:00,0.00477,0.00401,0.0045,141162.203742,628.6554897,0.00445342
0.00474909,2015-08-13 00:00:00,0.00474927,0.004364,0.00459777,68854.7216515,313.57302861,0.00455412
0.00502999,2015-08-13 04:00:00,0.00505,0.00456401,0.0047491,114499.776641,550.27663042,0.00480591
0.005626,2015-08-13 08:00:00,0.005626,0.00475,0.00504995,232736.784969,1234.3790557,0.00530375
0.0075,2015-08-13 12:00:00,0.007999,0.0056,0.00563366,503776.568048,3324.80258582,0.00659975
0.00695489,2015-08-13 16:00:00,0.007911,0.00641,0.00779992,300068.565931,2140.98822057,0.00713499
0.007496,2015-08-13 20:00:00,0.007499,0.00680001,0.00688019,128011.849144,928.3727645,0.00725224
0.006812,2015-08-14 00:00:00,0.0077,0.00665,0.007491,220736.422098,1598.4589675,0.00724148
0.00842,2015-08-14 04:00:00,0.00850751,0.00682382,0.00699885,229348.279636,1808.06455459,0.00788348
0.008,2015-08-14 08:00:00,0.008888,0.0076,0.00842008,376927.701625,3105.18715009,0.00823815
0.00735,2015-08-14 12:00:00,0.00824,0.00689976,0.008,324026.798393,2410.70645203,0.00743983
0.00683103,2015-08-14 16:00:00,0.00784001,0.0065,0.00727011,252153.633816,1800.75909856,0.00714151
0.00648999,2015-08-14 20:00:00,0.00720508,0.0057,0.006858,293989.009081,1890.97905125,0.00643214
0.00652006,2015-08-15 00:00:00,0.00699056,0.006205,0.00649,65122.660105,433.55944277,0.00665758
0.00629944,2015-08-15 04:00:00,0.006844,0.006204,0.00662899,54603.9167594,353.80751563,0.00647952
0.00640002,2015-08-15 08:00:00,0.00667,0.0060925,0.00625001,118400.654395,733.44510977,0.0061946
0.0064005,2015-08-15 12:00:00,0.006766,0.006251,0.00649299,96444.2738526,629.01301487,0.00652203
0.006377,2015-08-15 16:00:00,0.00683298,0.0063,0.00654199,107596.214209,704.68076091,0.0065493
0.00554791,2015-08-15 20:00:00,0.006559,0.00552445,0.006377,155047.435564,925.53029697,0.00596933
0.00493146,2015-08-16 00:00:00,0.00589358,0.00491,0.00569697,302705.424803,1596.21524293,0.00527316
0.0052031,2015-08-16 04:00:00,0.00562879,0.0041501,0.004911,388742.473955,1811.15123847,0.004659
0.00506797,2015-08-16 08:00:00,0.00577,0.00471001,0.00539999,277986.659202,1474.89464897,0.00530563
0.00503797,2015-08-16 12:00:00,0.0056,0.00493101,0.00506794,135465.459327,704.69773823,0.00520204
0.00618999,2015-08-16 16:00:00,0.00621,0.00496001,0.00500005,209360.669713,1153.78393316,0.00551098
0.00578087,2015-08-16 20:00:00,0.006195,0.00538,0.00618999,122725.964927,711.54861334,0.00579786
0.0056,2015-08-17 00:00:00,0.0060332,0.005501,0.00578087,89232.2342135,508.62378041,0.0057
0.00557398,2015-08-17 04:00:00,0.00569503,0.00547215,0.0056,59582.4264285,332.55182928,0.00558137
0.00506013,2015-08-17 08:00:00,0.005556,0.0045805,0.00555,287008.404603,1443.88414538,0.0050308
0.00508977,2015-08-17 12:00:00,0.00538099,0.00489005,0.00506018,114390.180185,587.94002104,0.00513977
0.004747,2015-08-17 16:00:00,0.00519334,0.00439499,0.00508997,217667.598693,1034.12757824,0.00475094
0.00464,2015-08-17 20:00:00,0.00473,0.00440004,0.00468502,89578.7272669,409.36660875,0.0045699
0.00435027,2015-08-18 00:00:00,0.00465,0.004251,0.00464,118670.505267,527.13935833,0.00444204
0.00461217,2015-08-18 04:00:00,0.00482,0.00432001,0.0043503,125350.432157,579.35084842,0.00462184
0.005032,2015-08-18 08:00:00,0.00518,0.004556,0.00461217,206591.552649,1020.1869944,0.00493818
