date,open,close,high,low,weightedAverage,volume,quoteVolume
2015-08-08,1.510000006,1.4900000080000002,1.550000006,1.2200000500000001,1.4639036220000001,274.00396842,176.53943824
2015-08-09,1.40000001,1.40000001,1.40000001,1.40000001,1.40000001,0,0
2015-08-10,1.40000001,1.40000001,1.40000001,1.40000001,1.40000001,0,0
2015-08-11,0.8199997766666667,0.7900000066666667,0.833333245,0.7833332049999999,0.8067640699999999,242.97597265000002,251.51708151
2015-08-12,1.1350002449999999,1.1700004849999999,1.195000243333333,1.1100003433333334,1.1564607033333334,476.80721124,404.34478077
2015-08-13,1.4949999999999999,1.6049999999999998,1.6066666666666665,1.4933333333333332,1.5458526699999997,586.2868543500001,347.83749051
2015-08-14,2.145,2.146666666666667,2.146666666666667,2.145,2.145997945,53.47671417,24.91939484
2015-08-15,1.7874999966666667,1.8708333283333332,1.8708333283333332,1.729166665,1.8037773433333333,53.22324566,33.62755862
2015-08-16,1.23499984,1.3349998383333332,1.3399998383333334,1.2299998383333335,1.243572465,226.15014674,199.61202688
2015-08-17,1.403333305,1.331666655,1.403333305,1.331666655,1.33205463,37.09169389,26.25519431
2015-08-18,1.4735000016666666,1.4649999983333333,1.4735000016666666,1.4649999983333333,1.470608135,98.82704104999999,92.15136276
2015-08-19,1.2733333283333332,1.3083333266666666,1.3249999933333332,1.2583333283333331,1.2745508116666666,87.58378257,66.18019973
2015-08-20,1.2933333383333332,1.3383333316666668,1.3383333316666668,1.2933333383333332,1.2974878833333332,531.46756942,360.58467329999996
2015-08-21,1.54716584,1.49883333,1.54716584,1.49883333,1.5010978066666665,442.62231133999995,304.20099009
2015-08-22,1.33000064,1.33000064,1.33000064,1.33000064,1.33000064,0.78393859,0.58942723
2015-08-23,1.3883319800000002,1.386665746666667,1.4149986050000003,1.3866657450000002,1.387416975,91.2780872,65.09798216
2015-08-24,1.3353367950000001,1.3301666483333332,1.3353368000000003,1.3301666466666668,1.3316005133333333,193.68282041,148.95030874
2015-08-25,1.108833335,1.1668333283333332,1.1669999966666667,1.1086666666666667,1.16667429,28.90941093,27.4856816
2015-08-26,1.0485000033333334,1.0716666683333333,1.0716666683333333,1.0483333366666667,1.0571799716666666,86.32559330000001,81.68450130999999
2015-08-27,1.2699999999999998,1.2699999999999998,1.2699999999999998,1.2699999999999998,1.2699999999999998,0.00242509,0.00190952
2015-08-28,1.0666666749999998,1.0600000099999998,1.0666666749999998,1.0600000099999998,1.0659660649999998,1.10203059,1.00568924
2015-08-29,1.0600000099999998,1.0600000099999998,1.0600000099999998,1.0600000099999998,1.0600000099999998,0,0
2015-08-30,1.2216666683333333,1.2250000016666664,1.2250000016666664,1.2216666683333333,1.2248449216666666,2253.7733765,1803.09981041
